date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 22:34:44, success, 104857600, 6.434120, 15.542140, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:34:50, success, 104857600, 6.461516, 15.476244, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:34:58, success, 104857600, 7.362032, 13.583206, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:04, success, 104857600, 6.583513, 15.189458, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:11, success, 104857600, 6.470862, 15.453892, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:17, success, 104857600, 6.461465, 15.476365, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:24, success, 104857600, 6.539087, 15.292655, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:30, success, 104857600, 6.354000, 15.738118, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:38, success, 104857600, 7.532348, 13.276072, 200, iperf3 -b 200M -P 1 -R
2025-03-02, 22:35:44, success, 104857600, 6.511155, 15.358259, 200, iperf3 -b 200M -P 1 -R
